TestID,ElapsedTime,BytesSent,BytesAcked,BytesRetrans,RTT,RTTVar,RWndLimited,SndBufLimited,MinRTT,FinalSpeed
1,604312,475115,231219,0,147065,20593,0,0,100210,5.075926511070674
1,1137446,1192623,840959,0,294836,6386,0,0,100210,5.075926511070674
1,2811147,2190895,1632203,26942,549209,5117,0,0,100210,5.075926511070674
1,4441521,2987811,1928565,324722,373350,23212,329000,0,100210,5.075926511070674
1,6096471,3791817,3182077,411220,534825,1683,422000,0,100210,5.075926511070674
1,6742608,4210127,3720917,411220,100610,586,422000,0,100170,5.075926511070674
1,7956246,5618201,5048165,411220,119804,692,422000,0,100142,5.075926511070674
2,104367,15683,3167,0,101131,21760,0,0,100816,3.1706338805824927
2,702399,289357,93673,7090,265492,19189,0,0,100816,3.1706338805824927
2,1053402,658037,425485,14180,121825,11422,79000,0,100816,3.1706338805824927
2,3503446,1808035,639603,320468,430481,10316,79000,0,100816,3.1706338805824927
2,4128519,2095889,1626531,425400,102395,424,79000,0,100000,3.1706338805824927
2,4645882,2307171,1839231,425400,107641,554,79000,0,100000,3.1706338805824927
2,6224534,2955197,2483003,429654,101578,1136,79000,0,100000,3.1706338805824927
2,8071071,3712409,3241633,429654,100435,52,79000,0,100000,3.1706338805824927
2,10000259,4547611,3963395,458014,121234,5539,79000,0,100000,3.1706338805824927
3,584642,428321,222711,0,144531,3490,0,0,100252,5.138437308168054
3,668866,618333,316299,0,146617,2923,0,0,100252,5.138437308168054
3,1516038,1442191,1090527,0,482128,9078,0,0,100252,5.138437308168054
3,2182137,1781093,1447863,0,647175,20032,0,0,100252,5.138437308168054
3,3024698,2122831,1898787,0,562186,11135,0,0,100252,5.138437308168054
3,4503672,2949525,2670179,0,505466,12475,0,0,100252,5.138437308168054
3,6642822,3949215,3716663,0,308879,1625,0,0,100252,5.138437308168054
3,7821607,5005625,4859571,0,104764,2224,0,0,100220,5.138437308168054
3,8570327,5835155,5504761,0,249362,18352,0,0,100220,5.138437308168054
4,177336,41207,12847,0,102516,9337,0,0,100390,6.630814059706604
4,349036,127705,63895,0,100934,687,0,0,100307,6.630814059706604
4,592306,577211,280849,0,117525,6043,0,0,100265,6.630814059706604
4,867838,954399,340405,5672,257109,4668,0,0,100265,6.630814059706604
4,1279605,1385471,945891,22688,141908,5639,241000,0,100265,6.630814059706604
4,2434501,2586517,1956925,136128,186595,6791,241000,0,100265,6.630814059706604
4,4083998,3718081,2682941,462268,270737,10309,241000,0,100265,6.630814059706604
4,5019079,4537685,3743605,686312,101413,1402,241000,0,100000,6.630814059706604
4,5238381,4778745,3976157,686312,102766,2915,241000,0,100000,6.630814059706604
4,7076330,6535647,5226833,906102,185615,841,241000,0,100000,6.630814059706604
4,8536923,8211723,6900073,1195374,100848,521,241000,0,100000,6.630814059706604
4,9086164,8864003,7531083,1212390,102489,620,241000,0,100000,6.630814059706604
5,626050,279431,151811,0,167130,4643,0,0,100409,5.364921853943932
5,872064,441083,279431,0,235764,15020,0,0,100409,5.364921853943932
5,1480840,775731,582883,0,357443,14664,0,0,100409,5.364921853943932
5,2464817,1127395,994103,0,464571,17907,0,0,100409,5.364921853943932
5,3290801,1657727,1549959,0,102505,759,0,0,100319,5.364921853943932
5,3863849,2348293,2217837,0,108827,421,0,0,100319,5.364921853943932
5,4348614,2946689,2797799,0,106821,246,0,0,100319,5.364921853943932
5,4753178,3410375,3279919,0,109276,221,0,0,100319,5.364921853943932
5,5130305,3865553,3692557,0,139330,1907,0,0,100319,5.364921853943932
5,7108996,5022641,4767401,0,630395,6615,0,0,100319,5.364921853943932
6,559210,377273,178753,1418,140799,504,0,0,100345,5.5024826187589
6,1184460,1134485,744535,9926,244549,6246,171000,0,100345,5.5024826187589
6,2914284,2193731,1564139,90752,412998,1147,171000,0,100345,5.5024826187589
6,3744013,2836085,2121413,171578,325485,13836,171000,0,100345,5.5024826187589
6,6072162,4140645,3228871,445252,132396,10662,171000,0,100345,5.5024826187589
6,6361653,4374615,3825849,462268,101221,991,171000,0,100000,5.5024826187589
6,7642828,5740149,5136081,487792,101271,500,171000,0,100000,5.5024826187589
6,7904355,6077633,5436697,487792,106236,1744,171000,0,100000,5.5024826187589
7,25613,63895,35535,0,10547,174,0,0,10321,945.2867100031167
7,51419,331897,165991,0,10460,118,0,0,10246,945.2867100031167
7,77349,1825051,931711,0,10537,161,0,0,10202,945.2867100031167
7,702646,76892607,72660979,2091866,16384,196,19000,0,10000,945.2867100031167
7,1327966,151550307,147378235,2091866,17575,135,19000,0,10000,945.2867100031167
7,1403844,160675137,156420821,2091866,18007,140,19000,0,10000,945.2867100031167
7,1882518,217785087,213587491,2091866,17580,155,19000,0,10000,945.2867100031167
7,2507852,292570407,288229593,2091866,20247,282,19000,0,10000,945.2867100031167
7,2675526,312542937,308271605,2091866,20594,190,19000,0,10000,945.2867100031167
7,3046222,356763267,352540147,2091866,17958,107,19000,0,10000,945.2867100031167
7,3210417,376544367,372155341,2091866,18373,116,19000,0,10000,945.2867100031167
7,3501210,411320817,406880743,2091866,19632,160,19000,0,10000,945.2867100031167
7,3893425,458157357,453722955,2091866,20762,240,19000,0,10000,945.2867100031167
7,4042511,475960347,471525945,2091866,20334,211,19000,0,10000,945.2867100031167
7,4668200,549408493,545955347,2094702,11164,117,31000,0,10000,945.2867100031167
7,4753653,559937143,556163529,2094702,12179,105,31000,0,10000,945.2867100031167
7,4952141,583546843,579871071,2094702,13336,73,31000,0,10000,945.2867100031167
7,5104456,601860313,598073937,2094702,14527,229,31000,0,10000,945.2867100031167
7,5347986,631085293,627141519,2094702,16141,184,31000,0,10000,945.2867100031167
7,5484822,647803513,643488223,2094702,16643,110,31000,0,10000,945.2867100031167
7,5726344,676773253,672330343,2094702,17626,161,31000,0,10000,945.2867100031167
7,6160880,728586973,724222053,2094702,19698,159,31000,0,10000,945.2867100031167
7,6377269,754685263,750052341,2094702,18935,151,31000,0,10000,945.2867100031167
7,6590713,779954023,775546563,2094702,19355,111,31000,0,10000,945.2867100031167
7,6634935,785250253,780810179,2094702,20528,262,31000,0,10000,945.2867100031167
7,6873336,813709513,809326159,2094702,19522,210,31000,0,10000,945.2867100031167
7,6936500,821366713,816833051,2094702,19398,137,31000,0,10000,945.2867100031167
7,7562391,895960603,891590011,2094702,19312,166,31000,0,10000,945.2867100031167
7,7892968,935458993,931064295,2094702,19179,130,31000,0,10000,945.2867100031167
7,8518095,1008261152,1004613740,2107464,12602,128,31000,0,10000,945.2867100031167
7,8551691,1012281182,1008642278,2107464,12920,104,31000,0,10000,945.2867100031167
7,8818482,1044632852,1040504738,2107464,16625,299,31000,0,10000,945.2867100031167
7,8857780,1049290982,1045205408,2107464,16915,142,31000,0,10000,945.2867100031167
7,8890075,1053438632,1049053860,2107464,16981,129,31000,0,10000,945.2867100031167
