k,FinalSpeed,EstimatedSpeed,PercentError
5,3.1424446169381977,5.833988,85.6512652045254
6,3.1424446169381977,4.377602,39.305624569370366
7,3.1424446169381977,3.3733974,7.349460739203341
8,3.1424446169381977,3.4263744,9.03531654802084
9,3.1424446169381977,3.0325027,3.4986126766083996
10,3.1424446169381977,2.8610327,8.955190205767085
11,3.1424446169381977,5.705714,81.56928510416631
12,3.1424446169381977,4.749352,51.135582555770696
13,3.1424446169381977,3.5648098,13.440656359686765
14,3.1424446169381977,3.722232,18.450205400103105
15,3.1424446169381977,3.8738594,23.275343808350886
16,3.1424446169381977,3.0860581,1.7943507049652234
17,3.1424446169381977,2.8008602,10.870022928879289
18,3.1424446169381977,3.0975013,1.4302030582293495
19,3.1424446169381977,3.3996167,8.18382287369033
20,3.1424446169381977,3.968079,26.273636414463127
21,3.1424446169381977,3.7592492,19.628177059821798
22,3.1424446169381977,3.813908,21.367551859806788
23,3.1424446169381977,3.6959057,17.61243668395547
24,3.1424446169381977,3.5555623,13.146377778681176
25,3.1424446169381977,3.627294,15.429053037769197
26,3.1424446169381977,3.720947,18.409311246092223
27,3.1424446169381977,3.6883657,17.372496494605898
28,3.1424446169381977,3.6451797,15.99821772155184
29,3.1424446169381977,3.5891502,14.215225019635763
30,3.1424446169381977,3.5783513,13.871577559196254
31,3.1424446169381977,3.580393,13.93655298312004
32,3.1424446169381977,3.5863683,14.126699418708307
33,3.1424446169381977,3.6013615,14.603818114279443
34,3.1424446169381977,3.6914966,17.47212952437787
35,3.1424446169381977,3.799917,20.922321499914272
36,3.1424446169381977,3.8240886,21.691518534438462
37,3.1424446169381977,3.8376503,22.12308463248059
38,3.1424446169381977,3.9713774,26.378595547410537
39,3.1424446169381977,3.830534,21.89662661598396
40,3.1424446169381977,4.038046,28.500144804879056
41,3.1424446169381977,3.9114358,24.471114667570422
42,3.1424446169381977,4.986691,58.68826999204567
43,3.1424446169381977,4.1059494,30.660994937630758
44,3.1424446169381977,5.0565963,60.912820925739005
45,3.1424446169381977,5.1219244,62.991715835554615
46,3.1424446169381977,5.1797366,64.83143684721826
47,3.1424446169381977,4.8053036,52.91609429509651
48,3.1424446169381977,4.7164793,50.089496439497495
49,3.1424446169381977,4.474183,42.37905923509741
50,3.1424446169381977,3.829011,21.848160594495734
51,3.1424446169381977,4.1471815,31.973097905096843
52,3.1424446169381977,3.8962646,23.98832845195362
53,3.1424446169381977,3.6485252,16.104679088728226
54,3.1424446169381977,3.3541415,6.736693327572728
55,3.1424446169381977,3.6057847,14.74457290930911
56,3.1424446169381977,3.6557336,16.334065703267196
57,3.1424446169381977,3.6429982,15.928796291273626
58,3.1424446169381977,3.7701788,19.975982219036442
59,3.1424446169381977,3.9718723,26.394346245690052
60,3.1424446169381977,4.128874,31.39050415775218
61,3.1424446169381977,4.361487,38.79280125621571
62,3.1424446169381977,4.184749,33.16858804377864
63,3.1424446169381977,4.292846,36.60849199095906
64,3.1424446169381977,4.234225,34.743020560239216
65,3.1424446169381977,4.3827934,39.47082481230784
66,3.1424446169381977,4.506673,43.41296056262452
67,3.1424446169381977,4.3280444,37.728582110613004
68,3.1424446169381977,4.2974243,36.75417836300303
69,3.1424446169381977,4.3649797,38.903951415076456
70,3.1424446169381977,4.5020447,43.265680911852854
71,3.1424446169381977,4.452505,41.68921506825408
72,3.1424446169381977,4.4389324,41.257299966300174
73,3.1424446169381977,4.365453,38.91900410553241
74,3.1424446169381977,4.4855533,42.740885247115784
75,3.1424446169381977,4.484155,42.69639483540524
76,3.1424446169381977,4.4134254,40.44560791199584
77,3.1424446169381977,4.461091,41.962439608929394
78,3.1424446169381977,4.3924155,39.777022635604915
79,3.1424446169381977,4.369039,39.033128384684865
80,3.1424446169381977,4.4357305,41.15540599814318
81,3.1424446169381977,4.38575,39.56490412765755
82,3.1424446169381977,4.185037,33.177753189983676
83,3.1424446169381977,3.9942455,27.106314225723693
84,3.1424446169381977,4.686192,49.12568420190592
85,3.1424446169381977,4.737274,50.75123820440087
